Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-145.7,50.2,63,8.35,0.0009,380.4696
25,50,-145.3,42.7,64,1.37,0.0012,345.8702
50,75,-174.2,52.4,56,2.42,0.0014,331.2735
75,100,-171.9,52.5,58,0.32,0.0016,440.564
100,125,-154.3,48.3,62,0.9,0.0016,372.632
125,150,-138.1,56.2,65,2.12,0.0017,383.3383
150,175,-153.4,50.1,61,2.46,0.0018,331.6657
175,200,-138.9,58.8,64,0.74,0.0021,328.1008
200,225,-114.3,31.0,70,0.16,0.0022,215.7652
225,250,-98.9,33.8,74,0.01,0.0023,217.2935
250,275,-147.5,36.0,63,1.2,0.0024,314.362
275,300,-110.3,30.3,72,0.06,0.0024,287.1914
300,325,-125.8,46.3,68,0.11,0.0025,301.4859
325,350,-137.6,41.0,65,0.0,0.0025,388.8641
350,375,-150.8,56.1,61,2.57,0.0025,364.0388
375,400,-132.2,38.9,67,0.91,0.0026,313.1008
400,425,-139.9,53.5,65,0.0,0.0026,379.7242
425,450,-139.9,36.7,64,0.38,0.0026,273.116
450,475,-138.0,50.9,65,0.03,0.0027,375.9598
475,500,-128.7,32.7,67,0.03,0.0028,248.0938
