Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-44.5,46.5,88,7.79,0.0029,341.2359
25,50,-30.6,29.8,92,6.4,0.0035,271.5754
50,75,-26.1,34.0,93,6.62,0.004,246.1792
75,100,-14.7,9.5,96,2.6,0.0046,134.1427
100,125,-38.4,35.9,90,4.78,0.0049,321.0506
125,150,-17.6,15.8,95,1.55,0.005,177.8519
150,175,-18.2,11.6,95,3.24,0.0056,142.9647
175,200,-6.3,3.7,98,0.99,0.0061,115.9168
200,225,-29.4,21.9,92,1.47,0.0063,236.7143
225,250,-14.3,6.8,96,1.28,0.0066,133.4818
250,275,-21.0,4.4,94,0.95,0.0067,121.8836
275,300,-12.9,1.2,96,0.76,0.0069,105.6994
300,325,-25.4,13.3,93,0.32,0.007,184.9604
325,350,-22.0,7.0,94,1.15,0.0071,134.4989
350,375,-12.2,6.1,96,0.3,0.0072,126.896
375,400,-29.9,34.5,92,4.0,0.0072,274.3967
400,425,-8.0,8.0,97,0.27,0.0073,135.5787
425,450,-23.0,14.2,94,1.95,0.0073,180.7263
450,475,2.7,-10.9,100,0.03,0.0074,66.4522
475,500,-17.4,10.0,95,1.43,0.0074,164.0697
