Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-273.1,-7.9,31,4.0,0.0032,59.1631
25,50,-269.5,-2.5,32,1.41,0.0046,86.9013
50,75,-267.2,-4.2,33,0.19,0.0053,78.1787
75,100,-274.1,-15.6,31,1.42,0.0056,23.3007
100,125,-277.3,-9.6,31,0.74,0.0059,43.1445
125,150,-252.5,-3.0,35,0.6,0.0061,89.5648
150,175,-270.8,3.0,32,0.01,0.0063,117.6479
175,200,-266.8,8.5,34,0.0,0.0066,155.3885
200,225,-273.0,-13.0,31,1.46,0.0067,34.086
225,250,-258.5,-6.0,34,0.56,0.0068,76.598
250,275,-266.8,0.4,33,0.02,0.007,102.5667
275,300,-272.7,4.8,32,0.01,0.0071,135.5036
300,325,-259.5,0.7,34,0.0,0.0072,103.064
325,350,-275.0,-11.1,31,0.01,0.0073,44.4629
350,375,-263.3,-5.8,33,0.43,0.0075,75.6202
375,400,-271.8,0.5,32,0.0,0.0076,102.8281
400,425,-266.5,0.3,33,0.0,0.0077,101.1944
425,450,-263.8,-1.9,33,0.0,0.0077,91.8639
450,475,-273.2,2.4,32,0.0,0.0078,112.8935
475,500,-275.5,-14.0,31,0.0,0.0079,18.6438
