,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-277.0,-29.1,0,0.0,0.0011,0.0,-65.0,50.2,77,17.1,0.0011,316.7368
1,50,-268.2,-33.7,0,1.19,0.0015,0.0,-42.2,27.4,83,12.02,0.0017,173.8388
2,75,-265.9,-36.9,0,0.0,0.002,0.0,-69.6,38.1,74,15.06,0.002,215.3694
3,100,-271.6,-32.3,0,0.0,0.0022,0.0,-27.9,16.6,89,5.4,0.0024,145.9708
4,125,-262.1,-35.8,0,0.0,0.0025,0.0,-58.1,37.3,78,9.39,0.0026,214.9554
5,150,-263.8,-37.8,0,0.0,0.0028,0.0,-53.2,25.6,80,5.6,0.0028,180.5484
6,175,-260.1,-45.1,0,0.0,0.003,0.0,-35.9,29.9,86,8.11,0.003,187.3065
7,200,-272.8,-27.4,0,0.0,0.0032,0.0,-65.9,23.4,76,10.68,0.0031,175.853
8,225,-271.0,-30.0,0,0.0,0.0033,0.0,-51.9,33.6,81,7.98,0.0033,230.3949
9,250,-274.7,-24.5,0,0.0,0.0035,0.0,-41.0,30.2,84,4.68,0.0035,198.0185
10,275,-277.1,-25.2,0,0.0,0.0036,0.0,-59.3,40.1,77,4.98,0.0037,218.569
11,300,-264.2,-33.6,0,0.0,0.0037,0.0,-46.5,28.0,82,8.89,0.0038,180.4579
12,325,-266.5,-37.5,0,0.82,0.0039,0.0,-36.6,27.4,86,5.94,0.0039,184.2496
13,350,-276.8,-24.9,0,0.3,0.004,0.0,-42.7,38.3,83,3.95,0.0041,207.6599
14,375,-272.7,-30.1,0,0.0,0.0041,0.0,-18.3,-1.8,92,2.04,0.0042,96.0347
15,400,-269.3,-40.8,0,0.0,0.0042,0.0,-43.9,27.3,83,4.86,0.0043,188.7908
16,425,-268.2,-36.4,0,0.0,0.0043,0.0,-39.9,18.8,85,3.63,0.0044,155.4485
17,450,-275.8,-32.2,0,0.0,0.0044,0.0,-48.6,36.3,82,1.63,0.0044,292.7434
18,475,-281.2,-23.5,0,0.0,0.0045,0.0,-30.0,25.5,88,1.63,0.0046,169.0825
19,500,-274.0,-26.5,0,0.0,0.0046,0.0,-52.0,23.0,80,4.86,0.0047,169.8575
