Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-6.3,5.6,89,8.43,0.0007,241.0105
25,50,-4.4,3.8,92,10.45,0.0009,167.7984
50,75,-3.6,4.1,94,5.93,0.001,190.5553
75,100,-2.5,2.8,95,2.89,0.0012,151.2228
100,125,-2.8,4.3,95,5.26,0.0014,178.9151
125,150,-3.7,3.6,94,4.56,0.0015,185.6489
150,175,-2.7,2.8,95,2.25,0.0015,174.8561
175,200,0.5,2.1,100,3.59,0.0016,146.4872
200,225,-0.4,1.7,99,1.95,0.0016,147.4294
225,250,-2.8,2.8,95,3.09,0.0017,161.6199
250,275,-1.2,1.6,98,2.17,0.0018,132.8791
275,300,-2.6,2.5,95,2.7,0.0018,163.5517
300,325,-1.2,1.9,98,2.58,0.0018,149.829
325,350,-3.2,2.7,94,1.89,0.0019,151.4327
350,375,-4.0,3.7,93,2.23,0.0019,193.4987
375,400,-1.6,2.2,97,1.64,0.002,159.6568
400,425,0.2,1.2,100,2.13,0.002,125.3123
425,450,-2.4,2.0,96,0.53,0.0021,156.2567
450,475,-0.0,0.7,99,1.21,0.0021,116.7734
475,500,-0.9,4.2,98,2.21,0.0021,177.5999
