,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-8.5,13.7,86,22.93,0.0002,499.0849,-4.2,6.0,93,11.47,0.0002,229.5467
1,50,8.3,6.3,113,4.63,0.0003,211.5944,-4.1,5.4,93,8.22,0.0003,241.6533
2,75,8.2,7.6,113,5.44,0.0003,290.7266,-1.1,1.4,98,5.95,0.0003,128.9898
3,100,5.4,9.6,108,3.45,0.0004,370.7877,0.3,0.4,100,2.93,0.0004,109.3164
4,125,6.9,8.7,111,6.01,0.0004,338.6547,-4.1,3.7,93,4.97,0.0004,186.0857
5,150,9.5,9.1,115,3.59,0.0004,353.7602,-3.2,2.6,94,4.74,0.0004,149.0248
6,175,8.5,5.2,113,4.1,0.0004,220.0479,0.6,0.2,100,3.21,0.0004,104.355
7,200,8.4,6.6,113,4.54,0.0005,216.9429,0.5,0.9,100,2.14,0.0005,118.9759
8,225,2.4,11.2,103,9.06,0.0005,315.0747,-0.8,2.8,98,2.23,0.0005,174.7118
9,250,4.2,7.7,106,1.39,0.0005,285.8485,-4.5,2.9,92,3.36,0.0005,163.4842
10,275,-1.9,13.6,96,12.14,0.0005,420.8177,-0.4,0.9,99,0.82,0.0005,123.1945
11,300,9.9,4.5,116,1.54,0.0005,200.7794,-0.4,1.3,99,2.5,0.0005,130.9238
12,325,6.9,7.7,111,3.83,0.0005,255.4363,1.0,1.2,101,1.88,0.0005,130.0823
13,350,8.1,6.8,112,1.26,0.0006,287.6051,-1.8,2.4,97,1.43,0.0005,164.5307
14,375,9.7,5.6,115,2.41,0.0006,214.9957,0.3,1.8,100,1.51,0.0006,136.8965
15,400,6.3,5.8,110,3.95,0.0006,204.644,-0.0,1.0,99,1.65,0.0006,120.4447
16,425,9.9,3.8,116,1.68,0.0006,175.699,-2.1,2.1,96,1.21,0.0006,163.1968
17,450,6.5,7.3,110,4.65,0.0006,272.0346,-0.2,1.9,99,1.25,0.0006,140.2322
18,475,7.7,6.4,112,1.87,0.0006,232.1311,-3.1,2.8,94,3.05,0.0006,155.6003
19,500,9.7,5.4,115,2.19,0.0006,231.5228,-2.7,2.1,95,1.35,0.0006,145.4656
