Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-113.7,93.2,70,24.62,0.0264,900.6478
25,50,-27.6,26.2,92,4.11,0.0343,255.7631
50,75,-35.0,23.3,91,4.38,0.0391,247.2754
75,100,-21.3,14.0,94,1.03,0.0416,168.6196
100,125,-26.4,15.0,93,0.17,0.044,188.6922
125,150,-15.1,9.5,96,0.16,0.0455,186.5973
150,175,-26.9,12.3,93,1.97,0.0475,171.6057
175,200,-18.2,12.3,95,1.59,0.048,161.3229
200,225,-14.0,-0.6,96,0.98,0.0485,97.0878
225,250,-26.3,9.5,93,0.27,0.0506,170.0997
250,275,-21.7,13.2,94,1.54,0.0507,184.9944
275,300,-16.1,10.9,95,1.95,0.0536,149.8135
300,325,-9.0,-2.1,97,0.04,0.0543,87.0481
325,350,-21.2,12.4,94,0.25,0.0564,205.1855
350,375,-13.1,0.5,96,0.05,0.0569,102.4197
375,400,-16.2,4.2,95,1.16,0.0575,126.1606
400,425,-11.5,0.8,96,0.61,0.0582,102.6043
425,450,-18.7,6.6,95,0.5,0.0595,136.2758
450,475,-31.1,21.5,91,1.43,0.0597,268.8329
475,500,-10.2,-4.9,97,0.11,0.062,84.4289
