Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,22.0,-9.8,105,0.01,0.0207,49.7519
25,50,12.8,3.0,103,0.08,0.027,117.9026
50,75,20.1,-3.5,105,0.01,0.0338,83.8735
75,100,8.9,11.3,102,0.0,0.037,200.645
100,125,6.0,14.4,101,0.22,0.0403,165.2802
125,150,16.2,-0.4,104,0.01,0.046,97.2039
150,175,10.0,8.5,102,0.0,0.0467,173.6172
175,200,-7.0,36.0,98,1.17,0.0504,335.9082
200,225,24.1,-10.2,106,0.01,0.0517,46.5297
225,250,17.9,-0.7,104,0.01,0.0541,95.8158
250,275,20.4,-3.5,105,0.0,0.0553,75.5439
275,300,24.8,-6.5,106,0.0,0.0557,72.9994
300,325,11.9,6.7,103,0.0,0.058,141.4653
325,350,21.4,-7.9,105,0.01,0.0593,55.5437
350,375,16.5,-0.4,104,0.0,0.0602,98.2179
375,400,17.0,2.4,104,0.0,0.0603,112.3116
400,425,19.4,1.3,105,0.0,0.0613,107.3596
425,450,24.1,-4.0,106,0.0,0.0638,78.0128
450,475,16.7,1.4,104,0.0,0.0643,104.81
475,500,20.4,-2.1,105,0.0,0.0652,83.9212
