,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,29.8,-8.3,107,0.37,0.0016,39.0875,-22.2,27.0,94,5.83,0.0017,247.6723
1,50,26.0,-8.8,106,0.07,0.0022,35.7467,-4.4,5.5,98,1.46,0.0022,130.302
2,75,38.1,-19.8,110,0.27,0.0026,15.621,-14.8,12.2,96,1.83,0.0025,184.745
3,100,21.0,1.8,105,1.71,0.0031,109.2615,-6.1,7.8,98,1.96,0.0027,143.0718
4,125,24.9,-7.1,106,0.0,0.0033,64.0577,-10.8,0.1,97,1.99,0.003,100.3774
5,150,26.9,-4.5,107,0.0,0.0035,75.431,7.0,-7.1,101,0.5,0.0033,74.7008
6,175,31.7,-11.7,108,0.02,0.0036,49.1355,-15.9,19.6,95,3.04,0.0035,229.7645
7,200,29.7,-12.2,107,0.01,0.0037,38.4424,-14.0,21.2,96,0.58,0.0036,330.5813
8,225,25.4,-8.7,106,0.0,0.0038,34.5077,-3.0,2.2,99,1.64,0.0039,111.6925
9,250,24.8,-6.7,106,0.0,0.0039,46.2055,1.8,-5.4,100,0.47,0.0042,73.5239
10,275,25.8,-6.9,106,0.0,0.004,47.3649,2.3,-5.2,100,0.08,0.0043,70.7822
11,300,27.9,-7.6,107,0.02,0.0042,59.2909,2.2,-0.2,100,1.77,0.0044,98.8388
12,325,25.6,-9.7,106,0.0,0.0042,59.0144,-6.0,-1.3,98,0.46,0.0045,92.3242
13,350,33.9,-17.0,108,0.01,0.0044,25.2335,-14.6,10.1,96,0.48,0.0046,156.791
14,375,25.8,-7.1,106,0.03,0.0045,66.8707,-8.1,5.1,97,0.68,0.0046,137.8476
15,400,22.7,-5.8,105,0.0,0.0045,77.2693,-12.5,15.2,96,0.77,0.0047,185.4327
16,425,33.1,-16.7,108,0.25,0.0048,26.4022,-6.2,10.6,98,0.2,0.0048,172.8991
17,450,25.3,-8.8,106,0.0,0.0049,39.3149,-2.1,2.4,99,0.18,0.0049,111.645
18,475,35.9,-11.1,109,0.01,0.005,34.1852,-2.5,1.9,99,0.19,0.005,112.1942
19,500,25.3,-2.7,106,0.01,0.0052,86.549,-1.2,-4.5,99,0.11,0.005,78.0247
