Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-27.5,23.7,92,5.13,0.0227,237.0324
25,50,-18.6,1.6,95,0.49,0.0268,109.4776
50,75,-15.1,-4.1,96,1.65,0.0306,84.8114
75,100,-21.3,8.8,94,3.88,0.0367,135.5154
100,125,-16.2,7.3,95,0.91,0.0375,131.6515
125,150,-24.2,7.7,93,1.82,0.04,149.7625
150,175,-21.1,10.3,94,1.31,0.0435,150.6251
175,200,-25.0,11.1,93,0.26,0.0438,178.3317
200,225,-28.3,17.7,92,1.84,0.0451,196.9972
225,250,-26.6,13.3,93,0.19,0.0458,208.0394
250,275,-20.4,10.8,94,0.35,0.0479,156.2944
275,300,-5.4,-4.8,98,0.36,0.0491,77.833
300,325,-34.0,35.1,91,1.51,0.0517,417.9932
325,350,-13.2,7.6,96,0.58,0.052,138.0226
350,375,-7.0,-8.0,98,0.22,0.0527,67.18
375,400,-7.9,-5.9,97,0.15,0.0535,76.219
400,425,-17.1,0.5,95,0.22,0.0567,102.8192
425,450,-23.6,8.3,93,1.28,0.0574,151.8281
450,475,-25.6,14.6,93,1.22,0.058,194.4202
475,500,-16.5,2.4,95,0.58,0.0605,113.0568
