Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,12.4,11.7,103,2.12,0.0019,167.7917
25,50,41.1,-28.3,111,0.75,0.0025,27.0772
50,75,21.4,2.5,105,0.51,0.0028,110.9487
75,100,18.3,0.1,104,0.07,0.003,100.9746
100,125,22.4,4.0,105,0.41,0.0032,127.0503
125,150,29.9,-10.2,107,0.23,0.0033,44.2312
150,175,34.5,-21.6,109,0.0,0.0035,38.0749
175,200,21.8,-5.7,105,0.0,0.0036,63.7977
200,225,16.6,4.6,104,0.0,0.0037,119.7673
225,250,17.2,-4.0,104,0.75,0.0039,80.2827
250,275,21.7,5.2,105,2.5,0.004,125.0836
275,300,17.0,9.8,104,1.3,0.0042,150.4302
300,325,21.5,-0.2,105,0.12,0.0043,98.6708
325,350,17.5,7.1,104,0.03,0.0044,136.5249
350,375,30.0,-12.8,107,0.26,0.0047,61.5806
375,400,20.2,2.6,105,0.31,0.0049,118.9973
400,425,18.5,4.9,104,0.0,0.0049,144.361
425,450,22.2,-0.3,105,0.01,0.0051,98.8117
450,475,22.5,0.8,105,0.93,0.0052,103.7365
475,500,10.3,16.7,102,0.0,0.0052,221.6986
