,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,43.0,-27.6,111,0.22,0.0057,15.7723,-28.5,23.5,92,2.85,0.0061,199.4993
1,50,13.5,9.8,103,2.45,0.0069,156.2872,-19.6,10.0,94,4.25,0.0075,140.3145
2,75,22.9,-6.8,105,0.17,0.0082,54.0396,-22.5,22.1,94,2.29,0.0086,249.6459
3,100,17.9,0.1,104,0.03,0.0094,100.4561,-12.2,7.8,96,0.7,0.0094,142.3184
4,125,15.7,9.4,104,0.33,0.0099,168.3797,-13.6,10.8,96,1.55,0.0104,181.4616
5,150,24.7,-3.5,106,0.03,0.0105,79.9618,-17.1,19.3,95,2.41,0.0112,189.1667
6,175,16.9,4.4,104,1.16,0.011,125.3429,-13.1,11.4,96,1.73,0.0116,165.9792
7,200,34.5,-18.2,109,0.02,0.0113,30.3658,-5.7,1.8,98,0.63,0.0122,109.4303
8,225,24.7,-10.2,106,0.02,0.012,57.917,-18.6,10.0,95,1.61,0.0124,171.8043
9,250,26.6,-0.5,106,0.46,0.0124,97.3961,-18.0,19.0,95,2.49,0.0126,232.9222
10,275,27.5,-7.3,107,0.0,0.0126,61.7519,1.4,-0.2,100,0.13,0.0131,98.6142
11,300,18.1,6.6,104,0.09,0.0127,140.5467,-4.7,0.9,98,0.92,0.0138,104.628
12,325,36.2,-15.6,109,0.0,0.0128,36.6117,-9.8,13.8,97,1.11,0.0138,184.2073
13,350,21.9,3.7,105,1.16,0.0131,133.888,-13.5,1.6,96,0.07,0.0144,109.4601
14,375,36.2,-18.6,109,0.01,0.0136,22.175,-2.4,0.3,99,0.02,0.0147,102.1889
15,400,38.4,-21.6,110,0.0,0.014,15.2704,-10.7,-0.2,97,0.02,0.0148,98.9709
16,425,26.7,-8.8,106,0.01,0.0142,51.1166,-1.7,-3.9,99,0.31,0.0151,85.2449
17,450,25.8,-0.6,106,0.01,0.0142,97.0202,-4.5,-5.3,98,0.05,0.0157,67.221
18,475,21.0,-0.8,105,0.0,0.0147,94.5131,-1.8,-9.4,99,0.09,0.0158,71.1756
19,500,25.5,-12.4,106,0.03,0.0148,30.5585,6.8,-8.7,101,0.91,0.016,76.7395
