Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-15.3,22.6,97,2.03,0.0001,201.262
25,50,4.5,-4.9,100,0.33,0.0001,81.7809
50,75,-12.7,-0.2,98,0.14,0.0001,99.0861
75,100,-3.6,9.5,99,0.11,0.0001,151.9999
100,125,-0.7,5.0,99,0.17,0.0001,125.1563
125,150,-12.8,21.8,98,1.34,0.0001,217.8183
150,175,-0.6,4.1,99,0.02,0.0001,119.5809
175,200,-2.0,1.9,99,0.05,0.0001,108.9442
200,225,-4.9,-3.3,99,0.04,0.0001,88.2751
225,250,-0.8,0.8,99,0.03,0.0001,103.5704
250,275,-7.4,2.0,99,0.32,0.0001,109.0481
275,300,4.2,1.8,100,0.06,0.0001,108.7566
300,325,-4.8,-1.6,99,0.07,0.0001,93.3626
325,350,-9.1,-1.1,98,0.23,0.0001,95.0268
350,375,5.2,-2.8,100,0.04,0.0001,88.7004
375,400,1.4,4.3,100,0.01,0.0001,120.8392
400,425,0.7,2.7,100,0.0,0.0001,115.2813
425,450,-13.1,5.5,98,0.05,0.0001,129.0934
450,475,3.5,2.3,100,0.0,0.0001,111.0594
475,500,-3.4,15.3,99,0.2,0.0001,163.706
