Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,74.2,-2.4,109,0.05,0.0001,90.2675
25,50,77.8,-4.1,110,0.0,0.0001,80.3071
50,75,82.0,-6.5,110,0.01,0.0002,71.8351
75,100,86.6,-1.3,111,0.0,0.0002,93.6483
100,125,75.1,9.8,109,0.0,0.0002,149.5681
125,150,76.3,-2.2,110,0.0,0.0002,89.3898
150,175,80.8,-7.6,110,0.0,0.0002,66.7608
175,200,82.9,-12.6,110,0.0,0.0002,50.9015
200,225,73.4,-8.2,109,0.0,0.0002,62.1885
225,250,70.4,0.2,109,0.0,0.0002,100.9864
250,275,74.7,-8.1,109,0.0,0.0002,60.0426
275,300,81.2,-9.8,110,0.0,0.0002,59.7461
300,325,71.1,-2.1,109,0.01,0.0002,89.9407
325,350,85.5,-3.1,111,0.0,0.0002,85.7509
350,375,75.6,-10.1,109,0.0,0.0002,52.5629
375,400,82.9,-3.5,110,0.0,0.0002,81.9391
400,425,75.9,-1.1,109,0.0,0.0002,93.8612
425,450,79.4,-6.1,110,0.0,0.0002,75.1661
450,475,85.6,-6.1,111,0.0,0.0002,74.5204
475,500,75.9,-4.5,109,0.0,0.0002,77.6829
