,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,74.2,-2.4,109,0.05,0.0001,90.2675,-4.0,-0.7,99,0.16,0.0001,97.2171
1,50,77.8,-4.1,110,0.0,0.0001,80.3071,-10.5,8.4,98,0.05,0.0002,143.4128
2,75,82.0,-6.5,110,0.01,0.0002,71.8351,1.0,5.6,100,0.11,0.0002,131.0223
3,100,86.6,-1.3,111,0.0,0.0002,93.6483,-4.4,-0.7,99,0.01,0.0002,97.2751
4,125,75.1,9.8,109,0.0,0.0002,149.5681,-2.5,1.4,99,0.03,0.0002,106.634
5,150,76.3,-2.2,110,0.0,0.0002,89.3898,-1.3,3.7,99,0.02,0.0002,119.7546
6,175,80.8,-7.6,110,0.0,0.0002,66.7608,-6.5,1.5,99,0.05,0.0002,106.4918
7,200,82.9,-12.6,110,0.0,0.0002,50.9015,-7.5,0.4,99,0.01,0.0002,102.1004
8,225,73.4,-8.2,109,0.0,0.0002,62.1885,-4.1,0.5,99,0.02,0.0002,102.2107
9,250,70.4,0.2,109,0.0,0.0002,100.9864,2.7,-2.0,100,0.0,0.0002,89.6501
10,275,74.7,-8.1,109,0.0,0.0002,60.0426,4.7,-2.9,100,0.01,0.0002,86.3845
11,300,81.2,-9.8,110,0.0,0.0002,59.7461,5.5,2.2,100,0.05,0.0002,110.0717
12,325,71.1,-2.1,109,0.01,0.0002,89.9407,-13.7,8.6,98,0.01,0.0002,138.0168
13,350,85.5,-3.1,111,0.0,0.0002,85.7509,-12.9,20.2,98,1.44,0.0002,193.1131
14,375,75.6,-10.1,109,0.0,0.0002,52.5629,-4.5,4.1,99,0.01,0.0002,120.8913
15,400,82.9,-3.5,110,0.0,0.0002,81.9391,-7.9,4.3,98,0.0,0.0002,124.0322
16,425,75.9,-1.1,109,0.0,0.0002,93.8612,-10.2,3.8,98,0.62,0.0002,116.1061
17,450,79.4,-6.1,110,0.0,0.0002,75.1661,-4.5,0.2,99,0.0,0.0002,100.9765
18,475,85.6,-6.1,111,0.0,0.0002,74.5204,-9.1,3.8,98,0.0,0.0002,120.6237
19,500,75.9,-4.5,109,0.0,0.0002,77.6829,3.6,5.6,100,0.05,0.0002,132.9315
