Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-7.3,7.0,99,1.66,0.0001,129.9522
25,50,2.3,2.4,100,0.42,0.0001,110.095
50,75,1.4,-1.8,100,0.27,0.0001,91.7683
75,100,-2.2,8.0,99,0.22,0.0001,138.3927
100,125,-8.3,1.7,98,0.07,0.0001,108.3951
125,150,-5.6,3.1,99,0.02,0.0001,115.4171
150,175,0.1,0.2,100,0.56,0.0001,100.9662
175,200,-2.8,6.1,99,0.05,0.0001,128.9994
200,225,-3.5,-0.2,99,0.2,0.0001,99.2635
225,250,-3.2,0.9,99,0.12,0.0001,104.0847
250,275,-2.3,2.3,99,0.04,0.0001,111.4608
275,300,1.3,-0.2,100,0.01,0.0001,98.9854
300,325,1.6,3.3,100,0.18,0.0001,115.0912
325,350,-17.3,5.5,97,0.1,0.0001,128.8944
350,375,2.3,5.1,100,0.04,0.0001,125.1261
375,400,-6.3,5.6,99,0.12,0.0001,125.4306
400,425,4.3,3.2,100,0.03,0.0001,116.5975
425,450,1.9,0.3,100,0.02,0.0001,101.6759
450,475,0.0,7.6,100,0.01,0.0001,142.5375
475,500,-7.8,7.5,98,0.05,0.0001,138.3648
