Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,84.5,-9.1,111,0.01,0.0001,61.7707
25,50,84.0,-8.5,111,0.0,0.0001,58.2075
50,75,77.2,-3.8,110,0.01,0.0002,80.1523
75,100,79.7,-7.4,110,0.0,0.0002,63.2641
100,125,74.4,1.3,109,0.02,0.0002,106.8073
125,150,69.7,1.3,109,0.0,0.0002,107.4389
150,175,76.2,-4.8,110,0.0,0.0002,71.1844
175,200,80.2,-7.7,110,0.0,0.0002,70.2876
200,225,83.7,-6.6,111,0.0,0.0002,67.8952
225,250,80.9,-4.5,110,0.01,0.0002,75.8389
250,275,79.4,-5.3,110,0.0,0.0002,72.2761
275,300,85.4,-4.5,111,0.0,0.0002,76.3868
300,325,74.4,-4.4,109,0.01,0.0002,79.0988
325,350,79.0,-5.2,110,0.0,0.0002,73.3141
350,375,82.6,-2.6,110,0.0,0.0002,86.292
375,400,88.9,-15.6,111,0.0,0.0002,45.6025
400,425,87.9,-7.8,111,0.0,0.0002,65.4718
425,450,83.2,-5.6,111,0.0,0.0002,72.1961
450,475,72.5,-3.4,109,0.0,0.0002,82.8552
475,500,85.1,-6.4,111,0.0,0.0002,70.313
