,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,84.5,-9.1,111,0.01,0.0001,61.7707,-0.2,6.3,99,0.1,0.0001,138.6458
1,50,84.0,-8.5,111,0.0,0.0001,58.2075,-11.2,-0.1,98,0.05,0.0002,99.681
2,75,77.2,-3.8,110,0.01,0.0002,80.1523,-15.5,4.1,97,0.6,0.0002,121.4232
3,100,79.7,-7.4,110,0.0,0.0002,63.2641,-7.4,7.8,99,0.22,0.0002,146.5336
4,125,74.4,1.3,109,0.02,0.0002,106.8073,-5.5,1.5,99,0.02,0.0002,106.8954
5,150,69.7,1.3,109,0.0,0.0002,107.4389,-0.1,3.1,99,0.01,0.0002,115.6693
6,175,76.2,-4.8,110,0.0,0.0002,71.1844,-0.8,3.6,99,0.19,0.0002,123.7797
7,200,80.2,-7.7,110,0.0,0.0002,70.2876,-0.6,7.1,99,0.01,0.0002,138.5548
8,225,83.7,-6.6,111,0.0,0.0002,67.8952,4.3,4.0,100,0.07,0.0002,121.5906
9,250,80.9,-4.5,110,0.01,0.0002,75.8389,0.4,1.9,100,0.05,0.0002,109.2146
10,275,79.4,-5.3,110,0.0,0.0002,72.2761,-16.3,11.6,97,0.82,0.0002,156.3018
11,300,85.4,-4.5,111,0.0,0.0002,76.3868,-0.9,3.1,99,0.3,0.0002,116.0085
12,325,74.4,-4.4,109,0.01,0.0002,79.0988,1.3,-2.9,100,0.03,0.0002,87.2496
13,350,79.0,-5.2,110,0.0,0.0002,73.3141,-5.5,8.5,99,0.01,0.0002,150.8927
14,375,82.6,-2.6,110,0.0,0.0002,86.292,-6.1,5.8,99,0.06,0.0002,130.5244
15,400,88.9,-15.6,111,0.0,0.0002,45.6025,-2.1,4.0,99,0.03,0.0002,118.0873
16,425,87.9,-7.8,111,0.0,0.0002,65.4718,-0.7,-2.4,99,0.02,0.0002,89.0073
17,450,83.2,-5.6,111,0.0,0.0002,72.1961,-8.8,2.6,98,0.04,0.0002,113.1879
18,475,72.5,-3.4,109,0.0,0.0002,82.8552,4.2,1.3,100,0.03,0.0002,106.3809
19,500,85.1,-6.4,111,0.0,0.0002,70.313,4.2,-1.6,100,0.02,0.0002,91.9925
